line_no_1based	id	workload	n_core	split	reason
6	W_ads_ctr,TQ,seg00005	W_ads_ctr	1	train	train_not_reached_by_step3500
7	W_ads_ctr,TQ,seg00006	W_ads_ctr	1	train	train_not_reached_by_step3500
24	W_ads_ctr,TQ,seg00023	W_ads_ctr	1	train	train_not_reached_by_step3500
25	W_ads_ctr,TQ,seg00024	W_ads_ctr	1	train	train_not_reached_by_step3500
26	W_ads_ctr,TQ,seg00025	W_ads_ctr	1	train	train_not_reached_by_step3500
32	W_ads_ctr,TQ,seg00031	W_ads_ctr	1	train	train_not_reached_by_step3500
33	W_ads_ctr,TQ,seg00032	W_ads_ctr	1	train	train_not_reached_by_step3500
36	W_ads_ctr,TQ,seg00035	W_ads_ctr	1	train	train_not_reached_by_step3500
44	W_ads_ctr,TQ,seg00043	W_ads_ctr	1	train	train_not_reached_by_step3500
47	W_ads_ctr,TQ,seg00046	W_ads_ctr	1	train	train_not_reached_by_step3500
54	W_ads_ctr,TQ,seg00053	W_ads_ctr	1	train	train_not_reached_by_step3500
58	W_ads_ctr,TQ,seg00057	W_ads_ctr	1	train	train_not_reached_by_step3500
59	W_ads_ctr,TQ,seg00058	W_ads_ctr	1	train	train_not_reached_by_step3500
78	W_ads_ctr,TQ,seg00077	W_ads_ctr	1	train	train_not_reached_by_step3500
79	W_ads_ctr,TQ,seg00078	W_ads_ctr	1	train	train_not_reached_by_step3500
81	W_ads_ctr,TQ,seg00080	W_ads_ctr	1	train	train_not_reached_by_step3500
88	W_ads_ctr,TQ,seg00087	W_ads_ctr	1	train	train_not_reached_by_step3500
89	W_ads_ctr,TQ,seg00088	W_ads_ctr	1	train	train_not_reached_by_step3500
101	W_ads_ctr,TQ,seg00100	W_ads_ctr	1	train	train_not_reached_by_step3500
118	W_ads_ctr,TQ,seg00117	W_ads_ctr	1	train	train_not_reached_by_step3500
123	W_ads_ctr,TQ,seg00122	W_ads_ctr	1	train	train_not_reached_by_step3500
132	W_ads_ctr,TQ,seg00131	W_ads_ctr	1	train	train_not_reached_by_step3500
135	W_ads_ctr,TQ,seg00134	W_ads_ctr	1	train	train_not_reached_by_step3500
142	W_ads_ctr,TQ,seg00141	W_ads_ctr	1	train	train_not_reached_by_step3500
144	W_ads_ctr,TQ,seg00143	W_ads_ctr	1	train	train_not_reached_by_step3500
172	W_ads_ctr,TQ,seg00171	W_ads_ctr	1	train	train_not_reached_by_step3500
185	W_ads_ctr,TQ,seg00184	W_ads_ctr	1	train	train_not_reached_by_step3500
187	W_ads_ctr,TQ,seg00186	W_ads_ctr	1	train	train_not_reached_by_step3500
201	W_ads_ctr,TQ,seg00200	W_ads_ctr	1	train	train_not_reached_by_step3500
206	W_ads_ctr,TQ,seg00205	W_ads_ctr	1	train	train_not_reached_by_step3500
207	W_ads_ctr,TQ,seg00206	W_ads_ctr	1	train	train_not_reached_by_step3500
209	W_ads_ctr,TQ,seg00208	W_ads_ctr	1	train	train_not_reached_by_step3500
218	W_ads_ctr,TQ,seg00217	W_ads_ctr	1	train	train_not_reached_by_step3500
233	W_ads_ctr,TQ,seg00232	W_ads_ctr	1	train	train_not_reached_by_step3500
238	W_ads_ctr,TQ,seg00237	W_ads_ctr	1	train	train_not_reached_by_step3500
251	W_ads_ctr,TQ,seg00250	W_ads_ctr	1	train	train_not_reached_by_step3500
265	W_ads_ctr,TQ,seg00264	W_ads_ctr	1	train	train_not_reached_by_step3500
280	W_ads_ctr,TQ,seg00279	W_ads_ctr	1	train	train_not_reached_by_step3500
284	W_ads_ctr,TQ,seg00283	W_ads_ctr	1	train	train_not_reached_by_step3500
298	W_ads_ctr,TQ,seg00297	W_ads_ctr	1	train	train_not_reached_by_step3500
303	W_ads_ctr,TQ,seg00302	W_ads_ctr	1	train	train_not_reached_by_step3500
312	W_ads_ctr,TQ,seg00311	W_ads_ctr	1	train	train_not_reached_by_step3500
328	W_ads_ctr,TQ,seg00327	W_ads_ctr	1	train	train_not_reached_by_step3500
329	W_ads_ctr,TQ,seg00328	W_ads_ctr	1	train	train_not_reached_by_step3500
331	W_ads_ctr,TQ,seg00330	W_ads_ctr	1	train	train_not_reached_by_step3500
