cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,per_core_o3_iq_full_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,o3_iq_full_fastsim,o3_iq_full_gem5,o3_iq_full_signed_error,o3_iq_full_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_bvc_encoder_base,business_base,7.547640642,9663653.09,6,1265,21,3532186,3509,7456,1728,8429,3506,1295360,255116,228358,26758,3532186,255116,True,True,True,0,0,0,0,0,0,0,0,636,0,122346,1.0,0.051570168662804346,0.00986162266702895,0.0002996200412215416,0.3826184271952948,1.8778515106622293,1.7857627804285172,0.051568288488807124,0.051568288488807124,1.4666656852158975,1.3947390399260293,0.05156996630257285,0.05156996630257285,27031,27067,-0.001330032881368456,0.001330032881368456,26755,26871,-0.004316921588329426,0.004316921588329426,26755,26871,-0.004316921588329426,0.004316921588329426,860,852,0.009389671361502348,0.009389671361502348,255116,257657,-0.009861948249028748,0.009861948249028748,26699,26707,-0.0002995469352604186,0.0002995469352604186,1681765,1216362,0.3826188256456548,0.3826188256456548,25630,25630,0.0,0.0,25630,26829,-0.04469044690446904,0.04469044690446904
4,W_v28_bvc_encoder_heldout,heldout,7.482233271,9720436.898,5,1121,7,3307714,3057,6764,1616,9943,3039,1147904,236042,212224,23818,3307714,236042,True,True,True,0,0,0,0,0,0,0,0,506,0,56145,1.0,0.037803475499435524,0.07544621875824697,0.0001260151605670942,0.420772562023492,1.7996522508255803,1.7340999960724246,0.037801888531010616,0.037801888531010616,1.3852687989348536,1.3348082600329227,0.03780358603765773,0.03780358603765773,23942,23968,-0.0010847797062750334,0.0010847797062750334,23815,23921,-0.004431252874043727,0.004431252874043727,23815,23921,-0.004431252874043727,0.004431252874043727,5365,5351,0.002616333395626986,0.002616333395626986,236042,255305,-0.07545093123910616,0.07545093123910616,23788,23791,-0.000126098104325165,0.000126098104325165,1395097,981936,0.4207616382330417,0.4207616382330417,23247,23247,0.0,0.0,23247,23902,-0.02740356455526734,0.02740356455526734
4,W_v28_cache_L1_mixed,mechanism,11.17537867,14170246.22,6,549,11,3411116,2086,6668,1668,258,1208,562176,67632,66566,1066,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,152,0,24,1.0,0.023006960207909086,0.0017416895869874275,0.13333333333333333,0.6356903389793369,0.8326621266978418,0.8139404176356185,0.02300132621083883,0.02300132621083883,0.6566798080159103,0.6419138252142907,0.023003060880781336,0.023003060880781336,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,43,38,0.13157894736842105,0.13157894736842105,465528,1277836,-0.6356903389793369,0.6356903389793369,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,10.52434144,13344738.82,29,975,61,3411116,2755,5646,1668,289,2744,998400,67632,59286,8346,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,152,0,26,1.0,0.07493713197035382,0.0017416895869874275,0.033428165007112376,0.1950818098112687,1.4132266242407572,1.3146500324140433,0.07498314334325258,0.07498314334325258,1.114542571991102,1.0367982874918247,0.07498496615706486,0.07498496615706486,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,155,150,0.03333333333333333,0.03333333333333333,1941702,1624744,0.19508180981126874,0.19508180981126874,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
4,W_v28_coh_readmostly_sparse,mechanism,10.13476074,13146464.05,6,565,0,3146924,2189,6364,1540,4210,2185,578560,66608,58386,8222,3146924,66608,True,True,True,0,0,0,0,0,0,0,0,164,0,551,1.0,0.11336639800228303,0.0010198554223283184,0.027214714714714715,0.44667001366681114,0.9529398186314921,0.8559100284747149,0.11336447398529774,0.11336447398529774,0.7346322949013068,0.6598297714132277,0.11336639649930692,0.11336639649930692,65570,65578,-0.00012199213150751776,0.00012199213150751776,8219,8257,-0.004602155746639215,0.004602155746639215,8219,8257,-0.004602155746639215,0.004602155746639215,1140,1168,-0.023972602739726026,0.023972602739726026,66608,66676,-0.0010198572199892014,0.0010198572199892014,151,147,0.027210884353741496,0.027210884353741496,1656269,1144884,0.4466697062759197,0.4466697062759197,2062,2062,0.0,0.0,2062,5099,-0.5956069817611296,0.5956069817611296
4,W_v28_flink_base,business_base,7.532615072,9499609.249,3,1893,107,3474694,4243,5670,1700,5120,4203,1938432,221009,176672,44337,3474694,221009,True,True,True,0,0,0,0,0,0,0,0,422,0,15470,1.0,0.08432001255410995,0.03941041451073006,0.00012403750130415755,0.3887467927628617,2.805136936333987,2.587007128977067,0.08431743574018323,0.08431743574018323,2.2243037804192256,2.0513365844392992,0.08431926641975444,0.08431926641975444,52620,52642,-0.000417917252384028,0.000417917252384028,40362,40461,-0.0024468006228219766,0.0024468006228219766,40362,40461,-0.0024468006228219766,0.0024468006228219766,1758,1753,0.002852253280091272,0.002852253280091272,221009,230077,-0.03941289220565289,0.03941289220565289,40320,40315,0.00012402331638348009,0.00012402331638348009,1891341,1361907,0.38874460590921406,0.38874460590921406,38233,38232,2.6156099602427287e-05,2.6156099602427287e-05,38233,40365,-0.05281803542673108,0.05281803542673108
4,W_v28_flink_heldout,heldout,7.231470371,9496522.075,6,1849,154,3213273,3485,6030,1572,5836,3472,1893376,193362,146942,46420,3213273,193362,True,True,True,0,0,0,0,0,0,0,0,422,0,14090,1.0,0.08569869149943433,0.08270705143479201,0.00012309939747673604,0.33722291991608333,3.0910034603490266,2.8470269220945084,0.08569519886205676,0.08569519886205676,2.353756434638451,2.167968134879659,0.08569696978922844,0.08569696978922844,48105,48131,-0.0005401923915979306,0.0005401923915979306,39712,39809,-0.0024366349317993417,0.0024366349317993417,39712,39809,-0.0024366349317993417,0.0024366349317993417,5069,5069,0.0,0.0,193362,210798,-0.08271425725101757,0.08271425725101757,40648,40643,0.00012302241468395542,0.00012302241468395542,1533558,1146826,0.3372194212548373,0.3372194212548373,38768,38768,0.0,0.0,38768,39768,-0.025145845906256285,0.025145845906256285
4,W_v28_fp_alu_dense,mechanism,15.95368767,20305405.83,9,121,0,3440944,484,28672,1684,0,4,123904,68,42,26,3440944,68,True,True,True,0,0,0,0,0,0,0,0,48,0,1,1.0,0.0033504550015182205,0.6083563064018285,0.1875,,0.18264481946392533,0.18325913366149857,-0.0033521614191844413,0.0033521614191844413,0.14350160886082425,0.14398402773640534,-0.003350502713150008,0.003350502713150008,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,68,174,-0.6091954022988506,0.6091954022988506,12,15,-0.2,0.2,,,,,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_gofeed_base,business_base,7.908618806,9922719.384,6,2071,246,3272580,3409,6176,1600,10182,3398,2120704,198240,164295,33945,3272580,198240,True,True,True,0,0,0,0,0,0,0,0,453,0,13633,1.0,0.1081887782036131,0.12167515862662107,0.01657789346917686,0.4512994220792479,3.25165585764915,2.9342149453596327,0.108185977578616,0.108185977578616,2.5916390126444577,2.3386275931590803,0.10818799035189818,0.10818799035189818,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,198240,225706,-0.12168927720131499,0.12168927720131499,32991,32453,0.016577820232335994,0.016577820232335994,1780924,1227134,0.4512873084764989,0.4512873084764989,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
4,W_v28_gofeed_heldout,heldout,7.73533939,9929859.478,5,2145,208,3204856,3811,5963,1568,9250,3784,2196480,168968,130255,38713,3204856,168968,True,True,True,0,0,0,0,0,0,0,0,350,0,23337,1.0,0.08585424408730119,0.09584871246148667,0.02365998918620029,0.3705041083519817,3.515057422646056,3.2371412503785164,0.0858523464909179,0.0858523464909179,2.738222247739056,2.5217217384629738,0.08585424235111774,0.08585424235111774,47048,47072,-0.0005098572399728076,0.0005098572399728076,38542,38659,-0.0030264621433560104,0.0030264621433560104,38542,38659,-0.0030264621433560104,0.0030264621433560104,5636,5635,0.0001774622892635315,0.0001774622892635315,168968,186881,-0.09585244085808617,0.09585244085808617,31800,31065,0.023660067600193145,0.023660067600193145,1739120,1268963,0.3705048925776402,0.3705048925776402,37139,36293,0.02331028021932604,0.02331028021932604,37139,38589,-0.037575474876260076,0.037575474876260076
