cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,per_core_o3_iq_full_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,o3_iq_full_fastsim,o3_iq_full_gem5,o3_iq_full_signed_error,o3_iq_full_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_memory_random_mlp,mechanism,6.162755859,7102925.212,4,1919,652,2228436,1877,8692,1092,4728,1876,1965056,294988,197726,97262,2228436,294988,True,True,True,0,0,0,0,0,0,0,0,1189,0,1728,1.0,0.12723766426351107,0.0012661995118081505,0.0002767949649376505,1.018392004461121,4.02687134853776,3.5723553957519174,0.1272314488436208,0.1272314488436208,3.4938598191736268,3.0994953010087247,0.12723507534809195,0.12723507534809195,137390,137417,-0.00019648224018862294,0.00019648224018862294,97262,97327,-0.0006678516752802408,0.0006678516752802408,97262,97326,-0.0006575837905595627,0.0006575837905595627,56,61,-0.08196721311475409,0.08196721311475409,294988,295362,-0.0012662427800461805,0.0012662427800461805,115560,115550,8.654262224145392e-05,8.654262224145392e-05,1070998,530622,1.0183822005118521,1.0183822005118521,91142,91132,0.0001097309397357679,0.0001097309397357679,91142,91206,-0.000701708220950376,0.000701708220950376
4,W_v28_memory_seq_moderate,mechanism,8.21024515,9462715.021,5,2223,881,2228404,1867,9141,1092,1063,1835,2276352,131140,38,131102,2228404,131140,True,True,True,0,0,0,0,0,0,0,0,584,0,31,1.0,0.1454265976716936,0.0016139662094481104,0.48947367457125485,0.8528986401242269,4.694507141615842,5.49341494144201,-0.14543008462718748,0.14543008462718748,4.073149662269499,4.766299965222074,-0.14542733525171228,0.14542733525171228,131102,131116,-0.000106775679550932,0.000106775679550932,131102,131207,-0.0008002621811336285,0.0008002621811336285,131102,131207,-0.0008002621811336285,0.0008002621811336285,56,60,-0.06666666666666667,0.06666666666666667,131140,131352,-0.0016139837992569584,0.0016139837992569584,3110,2087,0.49017728797316723,0.49017728797316723,918479,495717,0.8528293360929724,0.8528293360929724,131082,131082,0.0,0.0,131082,131148,-0.0005032482386311648,0.0005032482386311648
4,W_v28_pytorch_base,business_base,6.15325146,9180443.218,7,742,36,3181976,1781,12429,1556,3888,1762,759808,214424,165759,48665,3181976,214424,True,True,True,0,0,0,0,0,0,0,0,835,0,31860,1.0,0.22930794506928717,0.0035549585911890586,0.9940706767140249,1.226386905564141,1.4160755647664507,1.8374091314883305,-0.22930851899086457,0.22930851899086457,0.9491338086773753,1.2315341592088238,-0.22930776902921748,0.22930776902921748,49181,49207,-0.0005283801085211454,0.0005283801085211454,48662,48762,-0.002050777244575694,0.002050777244575694,48662,48762,-0.002050777244575694,0.002050777244575694,372,384,-0.03125,0.03125,214424,215189,-0.0035550144291762124,0.0035550144291762124,97865,49078,0.9940706630262032,0.9940706630262032,1704361,765556,1.226304803306355,1.226304803306355,46611,46609,4.291016756420434e-05,4.291016756420434e-05,46611,48652,-0.041950998931184744,0.041950998931184744
8,W_v28_memory_random_mlp,mechanism,5.821038023,6709076.049,6,2140,343,4456872,3828,17316,2184,9640,3819,2191360,589976,395574,194402,4456872,589976,True,True,True,0,0,0,0,0,0,0,0,2369,0,3364,1.0,0.17459152550272605,0.0012966469843457278,0.00026859556268889553,1.0455979095906995,4.474478813243739,3.8094245316490527,0.1745812985844329,0.1745812985844329,3.882220310567591,3.30518265861118,0.17458570722347883,0.17458570722347883,274830,274884,-0.00019644650106954206,0.00019644650106954206,194401,194651,-0.0012843499391218128,0.0012843499391218128,194401,194650,-0.0012792191112252762,0.0012792191112252762,112,122,-0.08196721311475409,0.08196721311475409,589976,590742,-0.0012966743519167419,0.0012966743519167419,230932,230892,0.0001732411690314086,0.0001732411690314086,2158621,1055280,1.0455433628989463,1.0455433628989463,182103,182085,9.885493038965319e-05,9.885493038965319e-05,182103,182232,-0.0007078888449888054,0.0007078888449888054
8,W_v28_memory_seq_moderate,mechanism,7.838146405,9033852.75,7,2413,473,4456808,3732,18330,2184,2118,3674,2470912,262280,77,262203,4456808,262280,True,True,True,0,0,0,0,0,0,0,0,1174,0,99,1.0,0.3272501173990315,0.0016975548913152644,0.48758538700293075,0.8585237533304751,5.084646612077027,7.585248284173016,-0.32966642335407986,0.32966642335407986,4.411650894541564,6.581252214284641,-0.32966390727800193,0.32966390727800193,262203,262237,-0.00012965371019345095,0.00012965371019345095,262203,262432,-0.0008726069991464455,0.0008726069991464455,262203,262432,-0.0008726069991464455,0.0008726069991464455,112,120,-0.06666666666666667,0.06666666666666667,262280,262726,-0.0016975860782716594,0.0016975860782716594,6223,4181,0.48839990432910785,0.48839990432910785,1833879,986811,0.8583892964306234,0.8583892964306234,262160,262160,0.0,0.0,262160,262289,-0.0004918239041667779,0.0004918239041667779
8,W_v28_pytorch_base,business_base,5.979043843,8920531.341,6,804,10,6363952,3610,22714,3112,8277,3583,823296,428848,331504,97344,6363952,428848,True,True,True,0,0,0,0,0,0,0,0,1521,0,136915,1.0,0.19362800061984584,0.003890549953199077,0.9940724476227558,1.4668791959646539,1.5296970094807618,1.8970167211033246,-0.19363019183559219,0.19363019183559219,1.0252893170784443,1.2714862866929153,-0.1936292763760901,0.1936292763760901,98360,98419,-0.0005994777431187067,0.0005994777431187067,97341,97544,-0.0020811121135077505,0.0020811121135077505,97341,97543,-0.0020708815599274166,0.0020708815599274166,744,764,-0.02617801047120419,0.02617801047120419,428848,430523,-0.0038906167614738353,0.0038906167614738353,195788,98185,0.9940724143199063,0.9940724143199063,3478464,1410217,1.4666161307089618,1.4666161307089618,88260,88255,5.665401393688743e-05,5.665401393688743e-05,88260,96681,-0.08710087814565426,0.08710087814565426
16,W_v28_memory_random_mlp,mechanism,5.226642765,6024001.845,9,2512,184,8913744,7621,34574,4368,19451,7609,2572288,1179952,791256,388696,8913744,1179952,True,True,True,0,0,0,0,0,0,0,0,4731,0,6480,1.0,0.2668146665517747,0.0012670584094595654,0.0003380484639189807,1.0155699127433808,5.249641318829546,4.144006528101818,0.2668033419421685,0.2668033419421685,4.554779450699953,3.5954760956798797,0.2668084363494219,0.2668084363494219,549629,549718,-0.00016190119297530733,0.00016190119297530733,388695,389187,-0.001264173777644166,0.001264173777644166,388695,389187,-0.001264173777644166,0.001264173777644166,224,245,-0.08571428571428572,0.08571428571428572,1179952,1181449,-0.001267088126529372,0.001267088126529372,461823,461715,0.00023391052922257236,0.00023391052922257236,4368802,2167580,1.0155205344208749,1.0155205344208749,364132,364103,7.964779197095327e-05,7.964779197095327e-05,364132,364373,-0.0006614101483918951,0.0006614101483918951
16,W_v28_memory_seq_moderate,mechanism,7.172111912,8266214.94,11,2794,235,8913616,7546,36754,4368,4371,7462,2861056,524560,154,524406,8913616,524560,True,True,True,0,0,0,0,0,0,0,0,2366,0,357,1.0,0.2716700461675436,0.001775448911689856,0.48769210721286615,0.8481140474555462,5.837028228208969,8.170041469460882,-0.2855570868241703,0.2855570868241703,5.064448479719117,7.0886393011403435,-0.28555421364091643,0.28555421364091643,524406,524478,-0.00013727935204145837,0.00013727935204145837,524406,524889,-0.0009201945554202889,0.0009201945554202889,524406,524889,-0.0009201945554202889,0.0009201945554202889,224,240,-0.06666666666666667,0.06666666666666667,524560,525493,-0.0017754756010070543,0.0017754756010070543,12445,8364,0.4879244380679101,0.4879244380679101,3656562,1978626,0.8480309062955809,0.8480309062955809,524317,524317,0.0,0.0,524317,524563,-0.0004689617834273481,0.0004689617834273481
16,W_v28_pytorch_base,business_base,5.643963346,8420602.564,7,881,3,12727904,7189,33328,6224,16768,7146,902144,857696,663024,194672,12727904,857696,True,True,True,0,0,0,0,0,0,0,0,2736,0,529651,1.0,0.14322895090058133,0.004661461368965309,0.9940414063273976,1.856669914379558,1.6855964627662068,1.967385611568136,-0.14323025803636164,0.14323025803636164,1.129781934244633,1.3186513303062561,-0.14322921588207735,0.14322921588207735,196715,196885,-0.0008634482058054194,0.0008634482058054194,194661,195086,-0.002178526393488,0.002178526393488,194661,195085,-0.002173411589819822,0.002173411589819822,1488,1532,-0.028720626631853787,0.028720626631853787,857696,861713,-0.004661644886406495,0.004661644886406495,391540,196355,0.9940414045988134,0.9940414045988134,7098231,2485022,1.8564056978167598,1.8564056978167598,159670,159620,0.00031324395439168026,0.00031324395439168026,159670,189357,-0.15677793796902148,0.15677793796902148
32,W_v28_memory_random_mlp,mechanism,4.634797231,5341866.344,1,3205,172,17827488,15329,69070,8736,38999,15296,3281920,2359904,1582499,777405,17827488,2359904,True,True,True,0,0,0,0,0,0,0,0,9451,0,13154,1.0,0.4100398449872657,0.0012869228573933608,0.0003109895873507933,0.9762816552468687,6.681710027349762,4.738724131911895,0.4100230022577715,0.4100230022577715,5.797294268267072,4.11147205992022,0.4100288616285924,0.4100288616285924,1099199,1099389,-0.00017282326819715313,0.00017282326819715313,777404,778304,-0.0011563604966696817,0.0011563604966696817,777404,778304,-0.0011563604966696817,0.0011563604966696817,448,492,-0.08943089430894309,0.08943089430894309,2359904,2362945,-0.0012869533569338262,0.0012869533569338262,923522,923383,0.00015053341896049634,0.00015053341896049634,8831235,4468702,0.9762416469032842,0.9762416469032842,728522,728474,6.589116426941798e-05,6.589116426941798e-05,728522,728996,-0.0006502093289949465,0.0006502093289949465
