cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,per_core_o3_iq_full_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,o3_iq_full_fastsim,o3_iq_full_gem5,o3_iq_full_signed_error,o3_iq_full_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_bvc_encoder_base,business_base,7.668102944,9817887.499,5,630,7,3532186,1749,14982,1728,4807,1747,1290240,255116,228358,26758,3532186,255116,True,True,True,0,0,0,0,0,0,0,0,1170,0,135714,1.0,0.048085535974238584,0.00986162266702895,0.0002996200412215416,0.44742770825249234,1.8716287806428764,1.7857627804285172,0.048083654310319156,0.048083654310319156,1.4618055221327528,1.3947390399260293,0.048085326564229834,0.048085326564229834,27031,27067,-0.001330032881368456,0.001330032881368456,26755,26871,-0.004316921588329426,0.004316921588329426,26755,26871,-0.004316921588329426,0.004316921588329426,860,852,0.009389671361502348,0.009389671361502348,255116,257657,-0.009861948249028748,0.009861948249028748,26699,26707,-0.0002995469352604186,0.0002995469352604186,1760596,1216362,0.4474276572270426,0.4474276572270426,25630,25630,0.0,0.0,25630,26829,-0.04469044690446904,0.04469044690446904
4,W_v28_bvc_encoder_heldout,heldout,7.607123722,9882686.551,7,559,10,3307714,1545,14453,1616,5208,1540,1144832,236042,212224,23818,3307714,236042,True,True,True,0,0,0,0,0,0,0,0,1036,0,69354,1.0,0.03525601972529398,0.07544621875824697,0.0001260151605670942,0.5161726061243874,1.7952352785920989,1.7340999960724246,0.03525476192730523,0.03525476192730523,1.3818688677437045,1.3348082600329227,0.03525645526768096,0.03525645526768096,23942,23968,-0.0010847797062750334,0.0010847797062750334,23815,23921,-0.004431252874043727,0.004431252874043727,23815,23921,-0.004431252874043727,0.004431252874043727,5365,5351,0.002616333395626986,0.002616333395626986,236042,255305,-0.07545093123910616,0.07545093123910616,23788,23791,-0.000126098104325165,0.000126098104325165,1488770,981936,0.5161578758697104,0.5161578758697104,23247,23247,0.0,0.0,23247,23902,-0.02740356455526734,0.02740356455526734
4,W_v28_cache_L1_mixed,mechanism,11.25229053,14267769.55,6,275,6,3411116,1042,13319,1668,134,1037,563200,67632,66566,1066,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,280,0,22,1.0,0.024088418330613343,0.0017416895869874275,0.13333333333333333,0.2675390269173822,0.8335438520842472,0.8139404176356185,0.024084606224094217,0.024084606224094217,0.6573751816121176,0.6419138252142907,0.024086342730919346,0.024086342730919346,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,43,38,0.13157894736842105,0.13157894736842105,935965,1277836,-0.2675390269173822,0.2675390269173822,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,10.90230072,13823986.66,27,489,38,3411116,1369,12110,1668,248,1365,1001472,67632,59286,8346,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,280,0,31,1.0,0.07248619074282123,0.0017416895869874275,0.033428165007112376,0.26135686606628494,1.4100115977369545,1.3146500324140433,0.07253760542477017,0.07253760542477017,1.1120070381658085,1.0367982874918247,0.07253942409176369,0.07253942409176369,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,155,150,0.03333333333333333,0.03333333333333333,2049382,1624744,0.2613568660662849,0.2613568660662849,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
4,W_v28_coh_readmostly_sparse,mechanism,10.42582207,13524018.84,10,282,0,3146924,1092,12580,1540,2097,1088,577536,66608,58386,8222,3146924,66608,True,True,True,0,0,0,0,0,0,0,0,300,0,642,1.0,0.11203381660160372,0.0010198554223283184,0.027214714714714715,0.5055018958594997,0.9517992580379225,0.8559100284747149,0.11203190332293252,0.11203190332293252,0.7337530235874778,0.6598297714132277,0.1120338235359111,0.1120338235359111,65570,65578,-0.00012199213150751776,0.00012199213150751776,8219,8257,-0.004602155746639215,0.004602155746639215,8219,8257,-0.004602155746639215,0.004602155746639215,1140,1168,-0.023972602739726026,0.023972602739726026,66608,66676,-0.0010198572199892014,0.0010198572199892014,151,147,0.027210884353741496,0.027210884353741496,1723625,1144884,0.5055018674380986,0.5055018674380986,2062,2062,0.0,0.0,2062,5099,-0.5956069817611296,0.5956069817611296
4,W_v28_flink_base,business_base,7.66563894,9667369.682,5,947,47,3474694,2142,11695,1700,2525,2130,1939456,221009,176672,44337,3474694,221009,True,True,True,0,0,0,0,0,0,0,0,774,0,31347,1.0,0.08368365973932526,0.03941041451073006,0.00012403750130415755,0.4404872114725354,2.8034906080163413,2.587007128977067,0.08368105236914222,0.08368105236914222,2.22299834172448,2.0513365844392992,0.08368288197429175,0.08368288197429175,52620,52642,-0.000417917252384028,0.000417917252384028,40362,40461,-0.0024468006228219766,0.0024468006228219766,40362,40461,-0.0024468006228219766,0.0024468006228219766,1758,1753,0.002852253280091272,0.002852253280091272,221009,230077,-0.03941289220565289,0.03941289220565289,40320,40315,0.00012402331638348009,0.00012402331638348009,1961808,1361907,0.4404860243761138,0.4404860243761138,38233,38232,2.6156099602427287e-05,2.6156099602427287e-05,38233,40365,-0.05281803542673108,0.05281803542673108
4,W_v28_flink_heldout,heldout,7.437376414,9766922.309,6,924,98,3213273,1719,11573,1572,2793,1715,1892352,193362,146942,46420,3213273,193362,True,True,True,0,0,0,0,0,0,0,0,781,0,27378,1.0,0.08527582174272563,0.08270705143479201,0.00012309939747673604,0.40525734484349274,3.0898011045162725,2.8470269220945084,0.085272879064719,0.085272879064719,2.3528408572816564,2.167968134879659,0.08527464930302552,0.08527464930302552,48105,48131,-0.0005401923915979306,0.0005401923915979306,39712,39809,-0.0024366349317993417,0.0024366349317993417,39712,39809,-0.0024366349317993417,0.0024366349317993417,5069,5069,0.0,0.0,193362,210798,-0.08271425725101757,0.08271425725101757,40648,40643,0.00012302241468395542,0.00012302241468395542,1611583,1146826,0.4052550256098135,0.4052550256098135,38768,38768,0.0,0.0,38768,39768,-0.025145845906256285,0.025145845906256285
4,W_v28_fp_alu_dense,mechanism,15.39694493,19596799.29,13,61,0,3440944,244,57344,1684,0,4,124928,68,42,26,3440944,68,True,True,True,0,0,0,0,0,0,0,0,48,0,1,1.0,0.0033504550015182205,0.6083563064018285,0.1875,,0.18264481946392533,0.18325913366149857,-0.0033521614191844413,0.0033521614191844413,0.14350160886082425,0.14398402773640534,-0.003350502713150008,0.003350502713150008,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,68,174,-0.6091954022988506,0.6091954022988506,12,15,-0.2,0.2,,,,,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_gofeed_base,business_base,8.057293614,10109257.44,6,1034,111,3272580,1768,12357,1600,5311,1766,2117632,198240,164295,33945,3272580,198240,True,True,True,0,0,0,0,0,0,0,0,825,0,25104,1.0,0.1080506376150067,0.12167515862662107,0.01657789346917686,0.5084013740959078,3.2512506153395524,2.9342149453596327,0.1080478682999354,0.1080478682999354,2.591316025887832,2.3386275931590803,0.10804988082237295,0.10804988082237295,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,198240,225706,-0.12168927720131499,0.12168927720131499,32991,32453,0.016577820232335994,0.016577820232335994,1850999,1227134,0.5083919115597808,0.5083919115597808,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
4,W_v28_gofeed_heldout,heldout,7.953092448,10209389.2,7,1072,104,3204856,1829,10744,1568,4410,1825,2195456,168968,130255,38713,3204856,168968,True,True,True,0,0,0,0,0,0,0,0,637,0,33271,1.0,0.08535694412799424,0.09584871246148667,0.02365998918620029,0.4289546484250169,3.5134476178574174,3.2371412503785164,0.08535505438528292,0.08535505438528292,2.736968213236414,2.5217217384629738,0.08535694937722829,0.08535694937722829,47048,47072,-0.0005098572399728076,0.0005098572399728076,38542,38659,-0.0030264621433560104,0.0030264621433560104,38542,38659,-0.0030264621433560104,0.0030264621433560104,5636,5635,0.0001774622892635315,0.0001774622892635315,168968,186881,-0.09585244085808617,0.09585244085808617,31800,31065,0.023660067600193145,0.023660067600193145,1813290,1268963,0.4289541933058726,0.4289541933058726,37139,36293,0.02331028021932604,0.02331028021932604,37139,38589,-0.037575474876260076,0.037575474876260076
