cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_memory_random_mlp,mechanism,9.67082554,11146174.23,6,882,77,2228436,1748,9036,1092,2684,1734,1806336,294988,197726,97262,2228436,294988,True,True,True,0,0,0,0,0,0,0,0,1234,0,96,1.0,0.04269139460732263,0.0012661995118081505,0.002838056813160978,3.7248478384998593,3.5723553957519174,0.04268680628172634,0.04268680628172634,3.231813253779781,3.0994953010087247,0.04269016079101448,0.04269016079101448,137390,137417,-0.00019648224018862294,0.00019648224018862294,97262,97327,-0.0006678516752802408,0.0006678516752802408,97262,97326,-0.0006575837905595627,0.0006575837905595627,56,61,-0.08196721311475409,0.08196721311475409,294988,295362,-0.0012662427800461805,0.0012662427800461805,115222,115550,-0.0028385980095196883,0.0028385980095196883,91142,91132,0.0001097309397357679,0.0001097309397357679,91142,91206,-0.000701708220950376,0.000701708220950376
4,W_v28_pytorch_base,business_base,12.34260608,18414751.13,9,195,0,3181976,778,17458,1556,1411,775,399360,214424,165759,48665,3181976,214424,True,True,True,0,0,0,0,0,0,0,0,1281,0,369,1.0,0.5938854483366568,0.0035549585911890586,0.0002852552384027279,0.746197848776691,1.8374091314883305,-0.5938858493795233,0.5938858493795233,0.5001439357179313,1.2315341592088238,-0.5938854541889123,0.5938854541889123,49181,49207,-0.0005283801085211454,0.0005283801085211454,48662,48762,-0.002050777244575694,0.002050777244575694,48662,48762,-0.002050777244575694,0.002050777244575694,372,384,-0.03125,0.03125,214424,215189,-0.0035550144291762124,0.0035550144291762124,49064,49078,-0.00028526019805208034,0.00028526019805208034,46611,46609,4.291016756420434e-05,4.291016756420434e-05,46611,48652,-0.041950998931184744,0.041950998931184744
4,W_v28_pytorch_heldout,heldout,12.74312125,19840124.24,13,203,0,3032594,810,16232,1484,1140,808,415744,170618,127737,42881,3032594,170618,True,True,True,0,0,0,0,0,0,0,0,911,0,199,1.0,0.5596471726562797,0.015436122888436033,0.0003712621828741529,0.851190005575504,1.9329778244168603,-0.5596483338693807,0.5596483338693807,0.5467111654247157,1.241532143051459,-0.55964799744854,0.55964799744854,43061,43088,-0.0006266245822502785,0.0006266245822502785,42878,42978,-0.002326771836753688,0.002326771836753688,42878,42978,-0.002326771836753688,0.002326771836753688,3334,3338,-0.0011983223487118035,0.0011983223487118035,170618,173293,-0.015436284212287859,0.015436284212287859,43081,43097,-0.0003712555398287584,0.0003712555398287584,41943,41940,7.15307582260372e-05,7.15307582260372e-05,41943,42946,-0.023354910818236856,0.023354910818236856
8,W_v28_memory_random_mlp,mechanism,9.153078279,10549441.19,5,970,32,4456872,3493,17868,2184,5319,3474,1986560,589976,395574,194402,4456872,589976,True,True,True,0,0,0,0,0,0,0,0,2441,0,233,1.0,0.07303736148539783,0.0012966469843457278,0.002875682606766191,4.087616733006736,3.8094245316490527,0.07302735598157584,0.07302735598157584,3.5465647207279005,3.30518265861118,0.07303138345102775,0.07303138345102775,274830,274884,-0.00019644650106954206,0.00019644650106954206,194401,194651,-0.0012843499391218128,0.0012843499391218128,194401,194650,-0.0012792191112252762,0.0012792191112252762,112,122,-0.08196721311475409,0.08196721311475409,589976,590742,-0.0012966743519167419,0.0012966743519167419,230228,230892,-0.002875803405921383,0.002875803405921383,182103,182085,9.885493038965319e-05,9.885493038965319e-05,182103,182232,-0.0007078888449888054,0.0007078888449888054
8,W_v28_pytorch_base,business_base,11.86714194,17705374.7,11,216,0,6363952,1727,34413,3112,2922,1723,442368,428848,331504,97344,6363952,428848,True,True,True,0,0,0,0,0,0,0,0,2553,0,759,1.0,0.5629591794252289,0.003890549953199077,0.00032588228089295575,0.8290726952183576,1.8970167211033246,-0.5629597325129743,0.5629597325129743,0.5556913377096496,1.2714862866929153,-0.5629592363477388,0.5629592363477388,98360,98419,-0.0005994777431187067,0.0005994777431187067,97339,97544,-0.0021016156811285163,0.0021016156811285163,97339,97543,-0.00209138533774848,0.00209138533774848,744,764,-0.02617801047120419,0.02617801047120419,428848,430523,-0.0038906167614738353,0.0038906167614738353,98153,98185,-0.00032591536385394917,0.00032591536385394917,88260,88255,5.665401393688743e-05,5.665401393688743e-05,88260,96681,-0.08710087814565426,0.08710087814565426
8,W_v28_pytorch_heldout,heldout,12.13361869,18891290.82,9,223,0,6065008,1775,30092,2967,2605,1768,456704,341216,255481,85735,6065008,341216,True,True,True,0,0,0,0,0,0,0,0,1732,0,427,1.0,0.5360996077216869,0.01556481998389376,0.0003479504887045428,0.9327431951763483,2.0106602490052623,-0.5361010416166501,0.5361010416166501,0.5990882452257277,1.291418530773907,-0.5361006281466995,0.5361006281466995,86113,86173,-0.0006962737748482704,0.0006962737748482704,85732,85931,-0.0023158115231988454,0.0023158115231988454,85732,85930,-0.002304201093913651,0.002304201093913651,6736,6744,-0.0011862396204033216,0.0011862396204033216,341216,346611,-0.015564999379708087,0.015564999379708087,86192,86222,-0.0003479390410800028,0.0003479390410800028,81567,81560,8.582638548307995e-05,8.582638548307995e-05,81567,85663,-0.0478152761402239,0.0478152761402239
16,W_v28_memory_random_mlp,mechanism,8.011469466,9233672.363,4,1158,26,8913744,7079,36285,4368,10630,7016,2371584,1179952,791256,388696,8913744,1179952,True,True,True,0,0,0,0,0,0,0,0,4954,0,676,1.0,0.16915654152057522,0.0012670584094595654,0.002845726455910299,4.844961938936794,4.144006528101818,0.16914920526345098,0.16914920526345098,4.203664924637728,3.5954760956798797,0.16915390695786117,0.16915390695786117,549629,549718,-0.00016190119297530733,0.00016190119297530733,388696,389187,-0.0012616043187465152,0.0012616043187465152,388696,389187,-0.0012616043187465152,0.0012616043187465152,224,245,-0.08571428571428572,0.08571428571428572,1179952,1181449,-0.001267088126529372,0.001267088126529372,460401,461715,-0.0028459114388746307,0.0028459114388746307,364132,364103,7.964779197095327e-05,7.964779197095327e-05,364132,364373,-0.0006614101483918951,0.0006614101483918951
16,W_v28_pytorch_base,business_base,10.91201815,16280362.29,9,273,0,12727904,4354,68746,6224,7378,4346,559104,857696,663024,194672,12727904,857696,True,True,True,0,0,0,0,0,0,0,0,5097,0,1806,1.0,0.46882529618348145,0.004661461368965309,0.0003259391280109561,1.045023303356246,1.967385611568136,-0.46882639721895014,0.46882639721895014,0.7004336299205274,1.3186513303062561,-0.46882575111204566,0.46882575111204566,196715,196885,-0.0008634482058054194,0.0008634482058054194,194662,195086,-0.0021734004490327344,0.0021734004490327344,194662,195085,-0.002168285619089115,0.002168285619089115,1488,1532,-0.028720626631853787,0.028720626631853787,857696,861713,-0.004661644886406495,0.004661644886406495,196291,196355,-0.00032594026126149067,0.00032594026126149067,159670,159620,0.00031324395439168026,0.00031324395439168026,159670,189357,-0.15677793796902148,0.15677793796902148
16,W_v28_pytorch_heldout,heldout,10.91762626,16998127.31,8,279,0,12129809,4433,58852,5935,6248,4422,571392,682409,510929,171480,12129809,682409,True,True,True,0,0,0,0,0,0,0,0,3484,0,1125,1.0,0.4573091844056463,0.016032404497671335,0.00036535350602457403,1.1650909799438645,2.1468825645697134,-0.45731033491467354,0.45731033491467354,0.7483193676009243,1.3789071381709714,-0.45730981667589293,0.45730981667589293,172230,172366,-0.0007890187159880719,0.0007890187159880719,171472,171891,-0.0024375912642314026,0.0024375912642314026,171472,171891,-0.0024375912642314026,0.0024375912642314026,13442,13448,-0.000446162998215348,0.000446162998215348,682409,693528,-0.016032517793081173,0.016032517793081173,172371,172434,-0.00036535718013848775,0.00036535718013848775,154841,154808,0.00021316727817683842,0.00021316727817683842,154841,170085,-0.08962577534762031,0.08962577534762031
32,W_v28_memory_random_mlp,mechanism,6.869459637,7917441.347,2,1509,62,17827488,14183,72162,8736,21477,14084,3090432,2359904,1582499,777405,17827488,2359904,True,True,True,0,0,0,0,0,0,0,0,9854,0,2285,1.0,0.31419710308980303,0.0012869228573933608,0.0029747075545611323,6.227521655343341,4.738724131911895,0.31417687166160746,0.31417687166160746,5.40322394271139,4.11147205992022,0.3141823327424572,0.3141823327424572,1099199,1099389,-0.00017282326819715313,0.00017282326819715313,777405,778304,-0.0011550756516733821,0.0011550756516733821,777405,778304,-0.0011550756516733821,0.0011550756516733821,448,492,-0.08943089430894309,0.08943089430894309,2359904,2362945,-0.0012869533569338262,0.0012869533569338262,920636,923383,-0.002974930229384773,0.002974930229384773,728521,728474,6.451843168047179e-05,6.451843168047179e-05,728521,728996,-0.0006515810786341764,0.0006515810786341764
