cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_memory_random_mlp,mechanism,7.483969693,8625698.995,6,823,255,2228436,923,18144,1092,2592,921,1685504,294988,197726,97262,2228436,294988,True,True,True,0,0,0,0,0,0,0,0,2440,0,152,1.0,0.028181794044052424,0.0012661995118081505,0.001384563423124085,3.4716111740950995,3.5723553957519174,-0.02820106358304059,0.02820106358304059,3.012095927367894,3.0994953010087247,-0.02819793713266375,0.02819793713266375,137390,137417,-0.00019648224018862294,0.00019648224018862294,97262,97327,-0.0006678516752802408,0.0006678516752802408,97262,97326,-0.0006575837905595627,0.0006575837905595627,56,61,-0.08196721311475409,0.08196721311475409,294988,295362,-0.0012662427800461805,0.0012662427800461805,115390,115550,-0.0013846819558632627,0.0013846819558632627,91142,91132,0.0001097309397357679,0.0001097309397357679,91142,91206,-0.000701708220950376,0.000701708220950376
4,W_v28_memory_seq_moderate,mechanism,9.460558518,10903763.23,7,1051,372,2228404,952,18460,1092,509,949,2152448,131140,38,131102,2228404,131140,True,True,True,0,0,0,0,0,0,0,0,1138,0,33,1.0,0.19872613433103967,0.0016139662094481104,0.004789314376583817,4.401741234349269,5.49341494144201,-0.19872405757249767,0.19872405757249767,3.8191337836406682,4.766299965222074,-0.1987214796577065,0.1987214796577065,131102,131116,-0.000106775679550932,0.000106775679550932,131102,131207,-0.0008002621811336285,0.0008002621811336285,131102,131207,-0.0008002621811336285,0.0008002621811336285,56,60,-0.06666666666666667,0.06666666666666667,131140,131352,-0.0016139837992569584,0.0016139837992569584,2077,2087,-0.004791566842357451,0.004791566842357451,131082,131082,0.0,0.0,131082,131148,-0.0005032482386311648,0.0005032482386311648
4,W_v28_cache_L1_mixed,mechanism,25.91175835,32855799.06,13,275,5,3411116,1039,13324,1668,1,28,563200,67632,66566,1066,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,280,0,24,1.0,0.022853957088066895,0.0017416895869874275,0.07777777777777778,0.8325387148815321,0.8139404176356185,0.022849703544565298,0.022849703544565298,0.6565824791651764,0.6419138252142907,0.022851437957406243,0.022851437957406243,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,35,38,-0.07894736842105263,0.07894736842105263,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,18.85425627,23906971,41,491,37,3411116,1363,12108,1668,258,1359,1005568,67632,59286,8346,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,280,0,24,1.0,0.0783542012468614,0.0017416895869874275,0.01991465149359886,1.4177237210892952,1.3146500324140433,0.07840389923847756,0.07840389923847756,1.1180892118591101,1.0367982874918247,0.07840572785275406,0.07840572785275406,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,147,150,-0.02,0.02,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
8,W_v28_memory_random_mlp,mechanism,7.023937275,8095485.574,5,948,167,4456872,1841,36288,2184,5309,1839,1941504,589976,395574,194402,4456872,589976,True,True,True,0,0,0,0,0,0,0,0,4880,0,348,1.0,0.04369372940260305,0.0012966469843457278,0.0013903433567729131,3.9758569040565366,3.8094245316490527,0.043689636328203454,0.043689636328203454,3.449597834535073,3.30518265861118,0.04369355368231758,0.04369355368231758,274830,274884,-0.00019644650106954206,0.00019644650106954206,194402,194651,-0.0012792125393653257,0.0012792125393653257,194402,194650,-0.001274081685075777,0.001274081685075777,112,122,-0.08196721311475409,0.08196721311475409,589976,590742,-0.0012966743519167419,0.0012966743519167419,230571,230892,-0.0013902603814770543,0.0013902603814770543,182103,182085,9.885493038965319e-05,9.885493038965319e-05,182103,182232,-0.0007078888449888054,0.0007078888449888054
8,W_v28_memory_seq_moderate,mechanism,9.167652409,10566174.4,8,1194,241,4456808,1912,36918,2184,1052,1905,2445312,262280,77,262203,4456808,262280,True,True,True,0,0,0,0,0,0,0,0,2276,0,102,1.0,0.3403609538493834,0.0016975548913152644,0.005737088551682797,4.985109565462054,7.585248284173016,-0.34278887404862884,0.34278887404862884,4.325288412693569,6.581252214284641,-0.34278640722725856,0.34278640722725856,262203,262237,-0.00012965371019345095,0.00012965371019345095,262203,262432,-0.0008726069991464455,0.0008726069991464455,262203,262432,-0.0008726069991464455,0.0008726069991464455,112,120,-0.06666666666666667,0.06666666666666667,262280,262726,-0.0016975860782716594,0.0016975860782716594,4157,4181,-0.005740253527864147,0.005740253527864147,262160,262160,0.0,0.0,262160,262289,-0.0004918239041667779,0.0004918239041667779
8,W_v28_cache_L1_mixed,mechanism,24.27119975,30775590.41,17,288,9,6822232,2083,26648,3336,7,64,589824,135264,133133,2131,6822232,135264,True,True,True,0,0,0,0,0,0,0,0,560,0,85,1.0,0.06828052044187534,0.0017490489779538672,0.06388888888888888,0.869641436632493,0.8140641529941707,0.06827138062019585,0.06827138062019585,0.6858435772925928,0.6420112276231366,0.06827349395700295,0.06827349395700295,2095,2112,-0.008049242424242424,0.008049242424242424,2095,2179,-0.038549793483249196,0.038549793483249196,2095,2178,-0.03810835629017447,0.03810835629017447,2280,2336,-0.023972602739726026,0.023972602739726026,135264,135501,-0.0017490645825492062,0.0017490645825492062,71,76,-0.06578947368421052,0.06578947368421052,2064,2064,0.0,0.0,2064,2163,-0.04576976421636616,0.04576976421636616
8,W_v28_cache_L2_mixed,mechanism,19.44125334,24651276.25,48,492,9,6822232,2737,24216,3336,494,2730,1007616,135264,118573,16691,6822232,135264,True,True,True,0,0,0,0,0,0,0,0,560,0,85,1.0,0.05266455913692894,0.0018153556986117893,0.023115220483641535,1.3856953809782244,1.3163273726727516,0.052698143140960295,0.052698143140960295,1.0928300298201528,1.0381208279166454,0.0527002256695886,0.0527002256695886,131131,131154,-0.00017536636320661207,0.00017536636320661207,16430,16530,-0.006049606775559589,0.006049606775559589,16430,16529,-0.005989473047371287,0.005989473047371287,2280,2336,-0.023972602739726026,0.023972602739726026,135264,135510,-0.001815364179765331,0.001815364179765331,295,302,-0.023178807947019868,0.023178807947019868,16400,16400,0.0,0.0,16400,16504,-0.006301502666020358,0.006301502666020358
16,W_v28_memory_random_mlp,mechanism,6.457182475,7442268.565,6,1200,157,8913744,3733,72576,4368,10659,3723,2457600,1179952,791256,388696,8913744,1179952,True,True,True,0,0,0,0,0,0,0,0,9760,0,902,1.0,0.1990433174029773,0.0012670584094595654,0.00135782387440696,4.968826934137137,4.144006528101818,0.19903935972155234,0.19903935972155234,4.31113469267235,3.5954760956798797,0.19904418161821874,0.19904418161821874,549629,549718,-0.00016190119297530733,0.00016190119297530733,388696,389187,-0.0012616043187465152,0.0012616043187465152,388696,389187,-0.0012616043187465152,0.0012616043187465152,224,245,-0.08571428571428572,0.08571428571428572,1179952,1181449,-0.001267088126529372,0.001267088126529372,461088,461715,-0.0013579805724310452,0.0013579805724310452,364132,364103,7.964779197095327e-05,7.964779197095327e-05,364132,364373,-0.0006614101483918951,0.0006614101483918951
16,W_v28_memory_seq_moderate,mechanism,8.398650973,9679862.083,8,1456,178,8913616,3752,73834,4368,2089,3729,2981888,524560,154,524406,8913616,524560,True,True,True,0,0,0,0,0,0,0,0,4552,0,363,1.0,0.2527853929477215,0.001775448911689856,0.005617568106819473,5.991980422621461,8.170041469460882,-0.26659118622358047,0.26659118622358047,5.198891448767817,7.0886393011403435,-0.26658823676760135,0.26658823676760135,524406,524478,-0.00013727935204145837,0.00013727935204145837,524406,524889,-0.0009201945554202889,0.0009201945554202889,524406,524889,-0.0009201945554202889,0.0009201945554202889,224,240,-0.06666666666666667,0.06666666666666667,524560,525493,-0.0017754756010070543,0.0017754756010070543,8317,8364,-0.005619320899091344,0.005619320899091344,524317,524317,0.0,0.0,524317,524563,-0.0004689617834273481,0.0004689617834273481
