cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,branch_outcome_coverage,per_core_uop_cpi_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_bvc_encoder_base,business_base,33.23779387,42556147.63,4,1.0,0.04618564878993647,1.868235948291205,1.7857627804285172,0.04618371978998087,0.04618371978998087,1.4591556050559058,1.3947390399260293,0.046185389012479955,0.046185389012479955,27031,27067,-0.001330032881368456,0.001330032881368456,26755,26871,-0.004316921588329426,0.004316921588329426,26755,26871,-0.004316921588329426,0.004316921588329426,860,852,0.009389671361502348,0.009389671361502348,25630,25630,0.0,0.0,25630,26829,-0.04469044690446904,0.04469044690446904
4,W_v28_bvc_encoder_heldout,heldout,33.52909027,43558840.58,4,1.0,0.08670228772451738,1.8844474346526907,1.7340999960724246,0.08670055874562545,0.08670055874562545,1.450539254603028,1.3348082600329227,0.08670233623460705,0.08670233623460705,23942,23968,-0.0010847797062750334,0.0010847797062750334,23815,23921,-0.004431252874043727,0.004431252874043727,23815,23921,-0.004431252874043727,0.004431252874043727,5365,5351,0.002616333395626986,0.002616333395626986,23247,23247,0.0,0.0,23247,23902,-0.02740356455526734,0.02740356455526734
4,W_v28_cache_L1_mixed,mechanism,61.23882358,77650094.39,251,1.0,0.43585012916528376,0.4591826569225851,0.8139404176356185,-0.43585224793671556,0.43585224793671556,0.362134855572194,0.6419138252142907,-0.4358512913297947,0.4358512913297947,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,62.86684086,79714400.8,188,1.0,0.29947783152886415,0.9209446951505104,1.3146500324140433,-0.2994753946345602,0.2994753946345602,0.7263039427565642,1.0367982874918247,-0.2994742067778626,0.2994742067778626,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
4,W_v28_coh_readmostly_sparse,mechanism,77.54450003,100588066,233,1.0,0.012737290980496623,0.8450065952184667,0.8559100284747149,-0.01273899462970285,0.01273899462970285,0.6514253283523848,0.6598297714132277,-0.012737289866206385,0.012737289866206385,65570,65578,-0.00012199213150751776,0.00012199213150751776,8219,8257,-0.004602155746639215,0.004602155746639215,8219,8257,-0.004602155746639215,0.004602155746639215,1140,1168,-0.023972602739726026,0.023972602739726026,2062,2062,0.0,0.0,2062,5099,-0.5956069817611296,0.5956069817611296
4,W_v28_flink_base,business_base,61.90357732,78068478.22,9,1.0,0.045103249204229874,2.470321084834543,2.587007128977067,-0.0451046473106021,0.0451046473106021,1.9588150783925147,2.0513365844392992,-0.045103035137490054,0.045103035137490054,52620,52642,-0.000417917252384028,0.000417917252384028,40362,40461,-0.0024468006228219766,0.0024468006228219766,40362,40461,-0.0024468006228219766,0.0024468006228219766,1758,1753,0.002852253280091272,0.002852253280091272,38233,38232,2.6156099602427287e-05,2.6156099602427287e-05,38233,40365,-0.05281803542673108,0.05281803542673108
4,W_v28_flink_heldout,heldout,57.41645825,75400525.1,4,1.0,0.030476989994181716,2.7602530260173945,2.8470269220945084,-0.030478776088733218,0.030478776088733218,2.1018945480200406,2.167968134879659,-0.030477194658253663,0.030477194658253663,48105,48131,-0.0005401923915979306,0.0005401923915979306,39712,39809,-0.0024366349317993417,0.0024366349317993417,39712,39809,-0.0024366349317993417,0.0024366349317993417,5069,5069,0.0,0.0,38768,38768,0.0,0.0,38768,39768,-0.025145845906256285,0.025145845906256285
4,W_v28_fp_alu_dense,mechanism,21.23443059,27026587.18,833,1.0,0.7426818647942931,0.3193618356029804,0.18325913366149857,0.7426789553249757,0.7426789553249757,0.25091835263811324,0.14398402773640534,0.7426818556393968,0.7426818556393968,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_gofeed_base,business_base,80.7671929,101336302.9,27,1.0,0.24802073427937704,2.2064619470953675,2.9342149453596327,-0.24802306982151506,0.24802306982151506,1.758597192429215,2.3386275931590803,-0.24802170402271909,0.24802170402271909,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
4,W_v28_gofeed_heldout,heldout,58.1107363,74596784.52,4,1.0,0.2206086544672291,2.5229894864005744,3.2371412503785164,-0.2206118635986109,0.2206118635986109,1.965403437783164,2.5217217384629738,-0.22061050281419786,0.22061050281419786,47048,47072,-0.0005098572399728076,0.0005098572399728076,38542,38659,-0.0030264621433560104,0.0030264621433560104,38542,38659,-0.0030264621433560104,0.0030264621433560104,5636,5635,0.0001774622892635315,0.0001774622892635315,37139,36293,0.02331028021932604,0.02331028021932604,37139,38589,-0.037575474876260076,0.037575474876260076
